,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,198177.0,3439.9233399629593,1400,749,1.8691588785046729,5.291229557415845,59.70961607462986,8.784473583826054,22.33403299637612,4.820939347701698,19.6693462808256,46.61569765074452,11.80576915847401,67.01042429897217,0.9715716745365464,0.8501475123618009,2.6322029804934703
0,102640.0,2444.3818114995956,1166,130,8.96923076923077,1.4768121590023382,58.21319602874167,38.84323789418129,79.14691911861723,25.370946035096978,34.996581460748246,56.76910443694315,27.235528694407193,424.9397381676447,0.8979065134818829,0.45667391738589047,7.818948646045854
0,87772.0,2242.4406868219376,1070,119,8.991596638655462,1.4506904251925443,57.29093827091149,35.570493991989316,82.97057252807664,19.78102568130056,33.46816782623336,57.657723320229884,26.639354043175196,494.17212487178926,0.8785853196745299,0.4390469362169873,8.018116682802804
0,190216.0,2809.165645003319,1292,254,5.086614173228346,1.7252386760314589,41.486581681177775,29.769669803271494,64.65286377708978,19.15336047390361,28.592452220874833,56.49344857207972,19.9080315543513,188.7924035284473,0.9499259492749038,0.5481702408326341,6.764679486381631
0,227354.5,2862.1778370141983,1295,286,4.527972027972028,1.6290418707349095,36.032108318486216,30.613578313578312,72.74292194292194,15.374549774549774,27.834329632299227,58.83870309185646,17.24546407066807,152.2306505103861,0.9606895790188701,0.5258339116941868,7.097110413108093
0,234444.0,3630.898074030876,1409,938,1.5021321961620469,5.637346231935985,56.23270727338352,8.248885098990499,20.699314186443832,3.7730633560374143,19.099308626773432,44.875239092526634,9.837203149049223,55.59948593811305,0.9743079795150591,0.8581884724793021,2.5062451316301884
0,259055.0,3507.393468141556,1380,866,1.5935334872979214,4.613228851016194,47.48724765151049,12.455807979382133,26.86941794691569,7.390213207484018,24.90519524681216,51.4043578997415,15.621100739388815,68.00423899894119,0.9778431679645978,0.8269975368897367,2.966502668488208
0,244895.5,3674.773182630539,1454,900,1.6155555555555556,5.343503657682563,55.14171531849536,9.544967140455448,20.907851138621428,5.792246675836772,21.19923314243434,43.92441571949939,13.654156969522196,59.62165370585058,0.9733648069266638,0.8508731336343479,2.6004729168112526
0,223657.5,3095.58908700943,1380,386,3.5751295336787563,2.3816773414707755,42.84529602455484,23.54008785762559,51.67054516783059,13.568275512502815,29.54893548722381,61.092105642268685,18.939155971431273,121.45930245074052,0.9718335120838688,0.6545203705558447,5.269748951513513
0,287770.5,3043.956615447998,1309,449,2.915367483296214,2.0423948945426997,32.19812967878789,24.331227530493873,57.34761910433337,14.440484839410557,26.325924181852276,59.152322773680936,16.371838223336304,91.72367507622073,0.9764760135935789,0.6162963045764518,5.82022891684116
0,325347.0,3368.5263726711273,1340,761,1.7608409986859395,3.134315054388084,34.87651622231311,16.77678427834546,40.205802459450446,9.300209857414636,26.036264412104977,59.243331974308916,15.640083750973737,73.83236360463039,0.980956162354051,0.7431127628308865,4.187233727546474
0,280194.0,3569.819869160652,1389,897,1.548494983277592,4.446679800423992,45.48139467031477,12.103957435913488,26.712788729410008,7.93009254911781,23.606287781274688,49.96411751186419,15.967309728681865,56.26905695469392,0.9805178486811443,0.8223845401228138,3.020477626775999
